# The daily noon exchange rates for major foreign currencies are published every business day at about 12:30
# p.m. EST. They are obtained from market or official sources around noon and show the rates for the
# various currencies in Canadian dollars converted from US dollars. The rates are nominal quotations -
# neither buying nor selling rates - and are intended for statistical or analytical purposes. Rates
# available from financial institutions will differ.
#
Date (<y>-<m>-<d>), ISO4217, 2016-07-21, 2016-07-22, 2016-07-25, 2016-07-26, 2016-07-27, 2016-07-28, 2016-07-29
U.S. dollar, USD_NOON, 1.3057, 1.3178, 1.3225, 1.3209, 1.3220, 1.3170, 1.3041
U.S. dollar (close), USD_CLOSE, 1.3086, 1.3146, 1.3220, 1.3189, 1.3191, 1.3161, 1.3056
US/Canada noon 3-month forward points spread, IEXE0124, -0.02, -0.03, -0.03, -0.04, -0.04, -0.04, -0.05
US/Canada noon 6-month forward points spread, IEXE0125, -0.05, -0.07, -0.08, -0.08, -0.09, -0.08, -0.09
Argentine peso, ARS_NOON, 0.08673, 0.08812, 0.08842, 0.08840, 0.08834, 0.08759, 0.08659
Australian dollar, AUD_NOON, 0.9789, 0.9820, 0.9863, 0.9927, 0.9861, 0.9891, 0.9908
Bahamian dollar, BSD_NOON, 1.3057, 1.3178, 1.3225, 1.3209, 1.3220, 1.3170, 1.3041
Brazilian real, BRL_NOON, 0.3993, 0.4010, 0.4023, 0.4031, 0.4021, 0.4024, 0.4027
CFA franc (African Financial Community), XAF_NOON, 0.002193, 0.002203, 0.002214, 0.002212, 0.002214, 0.002227, 0.002221
CFP franc (Pacific Financial Community), XPF_NOON, 0.01205, 0.01211, 0.01217, 0.01216, 0.01217, 0.01224, 0.01221
Chilean peso, CLP_NOON, 0.002007, 0.002021, 0.002010, 0.002000, 0.001989, 0.001979, 0.001993
Chinese renminbi, CNY_NOON, 0.1956, 0.1973, 0.1980, 0.1980, 0.1982, 0.1979, 0.1965
Colombian peso, COP_NOON, 0.000445, 0.000448, 0.000441, 0.000431, 0.000430, 0.000425, 0.000425
Croatian kuna, HRK_NOON, 0.1921, 0.1931, 0.1939, 0.1938, 0.1941, 0.1952, 0.1946
Czech Republic koruna, CZK_NOON, 0.05323, 0.05350, 0.05372, 0.05368, 0.05374, 0.05404, 0.05389
Danish krone, DKK_NOON, 0.1934, 0.1943, 0.1952, 0.1950, 0.1952, 0.1964, 0.1958
East Caribbean dollar, XCD_NOON, 0.4854, 0.4899, 0.4916, 0.4910, 0.4914, 0.4896, 0.4848
European Euro, EUR_NOON, 1.4383, 1.4454, 1.4520, 1.4507, 1.4526, 1.4611, 1.4566
Fiji dollar, FJD_NOON, 0.6209, 0.6270, 0.6282, 0.6272, 0.6306, 0.6282, 0.6227
Ghanaian cedi, GHS_NOON, 0.3306, 0.3332, 0.3357, 0.3336, 0.3334, 0.3322, 0.3292
